,0,1,accuracy,macro avg,weighted avg
precision,0.8,0.92,0.86,0.8600000000000001,0.8672
recall,0.9090909090909091,0.8214285714285714,0.86,0.8652597402597402,0.86
f1-score,0.851063829787234,0.8679245283018868,0.86,0.8594941790445605,0.8605058209554396
support,22.0,28.0,0.86,50.0,50.0
