,0,1,accuracy,macro avg,weighted avg
precision,0.8333333333333334,0.9230769230769231,0.88,0.8782051282051282,0.8835897435897436
recall,0.9090909090909091,0.8571428571428571,0.88,0.8831168831168831,0.88
f1-score,0.8695652173913043,0.8888888888888888,0.88,0.8792270531400965,0.8803864734299516
support,22.0,28.0,0.88,50.0,50.0
