,0,1,accuracy,macro avg,weighted avg
precision,0.75,0.8461538461538461,0.8,0.7980769230769231,0.8038461538461539
recall,0.8181818181818182,0.7857142857142857,0.8,0.801948051948052,0.8
f1-score,0.782608695652174,0.8148148148148148,0.8,0.7987117552334944,0.8006441223832528
support,22.0,28.0,0.8,50.0,50.0
